ICD_Code,ICD_Group,Name
A00,A,Cholera
A01,A,Typhoid and paratyphoid fevers
A010,A,Typhoid fever
A02,A,Other salmonella infections
A022,A,Localized salmonella infections
A03,A,Shigellosis
A04,A,Other bacterial intestinal infections
A047,A,Enterocolitis due to Clostridium difficile
A05,A,"Oth bacterial foodborne intoxications, NEC"
A06,A,Amebiasis
A068,A,Amebic infection of other sites
A07,A,Other protozoal intestinal diseases
A08,A,Viral and other specified intestinal infections
A081,A,Acute gastrent d/t Norwalk agent and oth small round viruse
A083,A,Other viral enteritis
A15,A,Respiratory tuberculosis
A17,A,Tuberculosis of nervous system
A178,A,Other tuberculosis of nervous system
A18,A,Tuberculosis of other organs
A180,A,Tuberculosis of bones and joints
A181,A,Tuberculosis of genitourinary system
A183,A,"Tuberculosis of intestines, peritoneum and mesenteric gland"
A185,A,Tuberculosis of eye
A188,A,Tuberculosis of other specified organs
A19,A,Miliary tuberculosis
A20,A,Plague
A21,A,Tularemia
A22,A,Anthrax
A23,A,Brucellosis
A24,A,Glanders and melioidosis
A25,A,Rat-bite fevers
A26,A,Erysipeloid
A27,A,Leptospirosis
A278,A,Other forms of leptospirosis
A28,A,"Other zoonotic bacterial diseases, not elsewhere classified"
A30,A,Leprosy [Hansen's disease]
A31,A,Infection due to other mycobacteria
A32,A,Listeriosis
A321,A,Listerial meningitis and meningoencephalitis
A328,A,Other forms of listeriosis
A36,A,Diphtheria
A368,A,Other diphtheria
A37,A,Whooping cough
A370,A,Whooping cough due to Bordetella pertussis
A371,A,Whooping cough due to Bordetella parapertussis
A378,A,Whooping cough due to other Bordetella species
A379,A,"Whooping cough, unspecified species"
A38,A,Scarlet fever
A39,A,Meningococcal infection
A395,A,Meningococcal heart disease
A398,A,Other meningococcal infections
A40,A,Streptococcal sepsis
A41,A,Other sepsis
A410,A,Sepsis due to Staphylococcus aureus
A415,A,Sepsis due to other Gram-negative organisms
A418,A,Other specified sepsis
A42,A,Actinomycosis
A428,A,Other forms of actinomycosis
A43,A,Nocardiosis
A44,A,Bartonellosis
A48,A,"Other bacterial diseases, not elsewhere classified"
A485,A,Other specified botulism
A49,A,Bacterial infection of unspecified site
A490,A,"Staphylococcal infection, unspecified site"
A50,A,Congenital syphilis
A500,A,"Early congenital syphilis, symptomatic"
A503,A,Late congenital syphilitic oculopathy
A504,A,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,A,"Other late congenital syphilis, symptomatic"
A51,A,Early syphilis
A513,A,Secondary syphilis of skin and mucous membranes
A514,A,Other secondary syphilis
A52,A,Late syphilis
A520,A,Cardiovascular and cerebrovascular syphilis
A521,A,Symptomatic neurosyphilis
A527,A,Other symptomatic late syphilis
A53,A,Other and unspecified syphilis
A54,A,Gonococcal infection
A540,A,Gonocl infct of low GU tract w/o periureth or acc glnd abcs
A542,A,Gonococcal pelviperitonitis and oth gonococcal GU infection
A543,A,Gonococcal infection of eye
A544,A,Gonococcal infection of musculoskeletal system
A548,A,Other gonococcal infections
A56,A,Other sexually transmitted chlamydial diseases
A560,A,Chlamydial infection of lower genitourinary tract
A561,A,Chlamydial infection of pelviperitoneum and oth GU organs
A59,A,Trichomoniasis
A590,A,Urogenital trichomoniasis
A60,A,Anogenital herpesviral [herpes simplex] infections
A600,A,Herpesviral infection of genitalia and urogenital tract
A63,A,"Oth predominantly sexually transmitted diseases, NEC"
A66,A,Yaws
A67,A,Pinta [carate]
A68,A,Relapsing fevers
A69,A,Other spirochetal infections
A692,A,Lyme disease
A71,A,Trachoma
A74,A,Other diseases caused by chlamydiae
A748,A,Other chlamydial diseases
A75,A,Typhus fever
A77,A,Spotted fever [tick-borne rickettsioses]
A774,A,Ehrlichiosis
A79,A,Other rickettsioses
A798,A,Other specified rickettsioses
A80,A,Acute poliomyelitis
A803,A,"Acute paralytic poliomyelitis, other and unspecified"
A81,A,Atypical virus infections of central nervous system
A810,A,Creutzfeldt-Jakob disease
A818,A,Other atypical virus infections of central nervous system
A82,A,Rabies
A83,A,Mosquito-borne viral encephalitis
A84,A,Tick-borne viral encephalitis
A848,A,Other tick-borne viral encephalitis
A85,A,"Other viral encephalitis, not elsewhere classified"
A87,A,Viral meningitis
A88,A,"Oth viral infections of central nervous system, NEC"
A92,A,Other mosquito-borne viral fevers
A923,A,West Nile virus infection
A93,A,"Other arthropod-borne viral fevers, not elsewhere classifie"
A95,A,Yellow fever
A96,A,Arenaviral hemorrhagic fever
A98,A,"Other viral hemorrhagic fevers, not elsewhere classified"
B00,B,Herpesviral [herpes simplex] infections
B005,B,Herpesviral ocular disease
B008,B,Other forms of herpesviral infections
B01,B,Varicella [chickenpox]
B011,B,"Varicella encephalitis, myelitis and encephalomyelitis"
B018,B,Varicella with other complications
B02,B,Zoster [herpes zoster]
B022,B,Zoster with other nervous system involvement
B023,B,Zoster ocular disease
B05,B,Measles
B058,B,Measles with other complications
B06,B,Rubella [German measles]
B060,B,Rubella with neurological complications
B068,B,Rubella with other complications
B07,B,Viral warts
B08,B,"Oth viral infect with skin and mucous membrane lesions, NEC"
B080,B,Other orthopoxvirus infections
B0801,B,Cowpox and vaccinia not from vaccine
B082,B,Exanthema subitum [sixth disease]
